YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2021,1,1,-1,27.3,21.6,67,4,50
2021,1,2,0,30.6,24.5,63,5,70
2021,1,3,3.6,30.2,23.6,77,3,70
2021,1,4,0,31.6,23.9,68,4,60
2021,1,5,0,31.9,23.6,69,3,100
2021,1,6,0,32.5,22.7,71,3,60
2021,1,7,0,32.4,23.7,69,4,30
2021,1,8,0,31.6,23.7,64,4,60
2021,1,9,0,31.3,23.8,58,5,50
2021,1,10,0,30,22.7,60,6,50
2021,1,11,0,30.3,23.3,59,5,50
2021,1,12,0,29.5,21.4,59,3,50
2021,1,13,0,30.2,23.4,64,3,60
2021,1,14,0,31.7,23.5,66,3,70
2021,1,15,0,32.4,23.8,67,3,80
2021,1,16,0,31.9,24.1,67,4,50
2021,1,17,0,30,25.4,63,4,50
2021,1,18,0,31.3,25.3,60,5,60
2021,1,19,0,31.2,24,63,4,50
2021,1,20,1.1,30.8,24.4,72,4,80
2021,1,21,35.5,31.8,23.7,84,3,80
2021,1,22,34.5,29.6,24,86,2,70
2021,1,23,7,27.4,22.9,93,1,160
2021,1,24,0,31.7,24.6,75,2,70
2021,1,25,2.2,31.4,23.9,82,3,50
2021,1,26,1.1,31.4,23.8,83,2,20
2021,1,27,0,30.7,23.4,77,3,60
2021,1,28,0,31.1,23.8,71,4,60
2021,1,29,0,29.4,23.1,62,7,50
2021,1,30,0,28.8,21.9,61,8,60
2021,1,31,0,28.9,21.4,59,5,50
2021,2,1,0,29.6,21.7,68,3,60
2021,2,2,0,31.1,22.6,66,4,60
2021,2,3,0,31.4,23.6,62,5,60
2021,2,4,0,31,23.5,62,5,40
2021,2,5,-1,31.4,24.1,65,4,60
2021,2,6,0.6,31.1,23.3,72,4,60
2021,2,7,0,32.7,24.4,64,4,50
2021,2,8,0,31.8,24.1,63,5,60
2021,2,9,-1,29.5,24,69,4,50
2021,2,10,2,31,23.7,75,4,70
2021,2,11,0,30,23,80,2,30
2021,2,12,0,30.1,23,78,3,210
2021,2,13,0,29.9,22.6,76,3,50
2021,2,14,0,29.8,22.5,79,3,50
2021,2,15,0,30.2,22.2,77,3,70
2021,2,16,0,31.2,21.1,67,4,70
2021,2,17,-1,31.4,21.7,73,3,220
2021,2,18,0,30.8,21.4,60,5,50
2021,2,19,0,29.2,20.2,59,6,80
2021,2,20,0,28.7,19.4,58,3,50
2021,2,21,0,30.4,22.1,60,4,70
2021,2,22,1,30.4,23.4,71,2,360
2021,2,23,0,30.2,24.3,79,1,120
2021,2,24,0,33.5,23.4,69,3,30
2021,2,25,0,33.3,22,71,3,50
2021,2,26,0,31.6,22.5,76,2,40
2021,2,27,0,33,23.5,76,3,50
2021,2,28,0,33.2,24.3,70,4,50
2021,3,1,0,33.3,24.1,71,3,50
2021,3,2,0,33.8,24.7,75,3,40
2021,3,3,0,33,24.2,67,4,70
2021,3,4,0,32.5,22.6,66,3,90
2021,3,5,0,33.2,22.2,66,3,80
2021,3,6,0,33.5,22.1,63,3,60
2021,3,7,0,33.3,24,60,11,50
2021,3,8,0,33.4,23.7,57,5,70
2021,3,9,0,33.4,22.3,61,4,70
2021,3,10,0,33.1,24.1,53,5,70
2021,3,11,0,33.6,23.5,56,4,50
2021,3,12,0,32.8,24.5,61,3,50
2021,3,13,-1,30.9,25.4,67,4,60
2021,3,14,0,33.7,24.2,61,4,70
2021,3,15,0.1,33.7,24.4,71,3,100
2021,3,16,0.6,31.8,24.2,77,2,110
2021,3,17,0,31.6,24.7,77,2,210
2021,3,18,0,33.4,25.7,79,3,230
2021,3,19,25.1,33.2,24.3,81,3,50
2021,3,20,2.7,34.2,24.8,75,3,40
2021,3,21,0,34.2,25.4,73,3,50
2021,3,22,0,33.4,26.6,64,5,50
2021,3,23,0,33.7,23.9,65,5,70
2021,3,24,0,33.6,24.7,68,4,70
2021,3,25,0,34.4,23.1,67,3,70
2021,3,26,0,34.2,24.2,64,4,80
2021,3,27,0,34.8,24.2,66,3,80
2021,3,28,0,34.7,24.5,74,3,340
2021,3,29,0,35.1,24.3,68,3,70
2021,3,30,0,35.2,23.8,69,3,40
2021,3,31,0,35.4,23.9,63,4,80
2021,4,1,0,36.2,22.5,58,2,80
2021,4,2,0,35.1,22.8,60,3,110
2021,4,3,0,35.3,23.2,58,3,70
2021,4,4,0,35.3,23.5,63,3,60
2021,4,5,0,35.4,23.9,62,3,60
2021,4,6,0,34.9,23.6,61,3,70
2021,4,7,0,34.5,24,60,4,50
2021,4,8,0,33.7,24,75,3,60
2021,4,9,0,34.7,24.4,66,3,50
2021,4,10,0,34.6,22.7,58,4,50
2021,4,11,0,35.3,22.4,57,4,80
2021,4,12,0,35.3,23.1,66,3,330
2021,4,13,0,32.6,24.3,74,3,230
2021,4,14,0,33.4,24.7,76,2,210
2021,4,15,0,33.4,25.5,74,3,330
2021,4,16,0,35.6,24.9,66,3,40
2021,4,17,0,32.7,24.6,71,3,20
2021,4,18,0,35.1,24.5,71,3,40
2021,4,19,0,32.7,24.4,71,3,220
2021,4,20,0,32.5,27,70,3,330
2021,4,21,0,32.5,26,75,3,330
2021,4,22,0,33.7,24.5,73,3,330
2021,4,23,0,32.8,23.4,74,3,340
2021,4,24,0,32.7,22.8,71,3,340
2021,4,25,0,32.9,22.2,68,3,350
2021,4,26,0,32.7,24.1,67,3,80
2021,4,27,0,34.4,24.1,62,4,80
2021,4,28,0,34.4,24.3,71,3,90
2021,4,29,0,31.8,25,73,3,350
2021,4,30,0,32.7,25.4,73,3,230
2021,5,1,0,35.2,24.6,75,3,50
2021,5,2,0,36.8,24.4,58,3,80
2021,5,3,0,36.1,25.8,58,5,80
2021,5,4,0,36.8,26.4,59,4,70
2021,5,5,0,36.9,26,57,4,70
2021,5,6,0,36.4,26.2,56,5,50
2021,5,7,0,35.8,25.5,59,4,50
2021,5,8,-1,36.7,26.4,62,3,50
2021,5,9,0,37.4,26.8,63,3,80
2021,5,10,0,36.8,26.5,65,3,50
2021,5,11,0,35.9,27.1,73,3,50
2021,5,12,0,38,27.2,58,4,70
2021,5,13,0,36.8,26.6,55,3,50
2021,5,14,0,36.8,26.4,55,4,60
2021,5,15,0,37.4,27,59,4,60
2021,5,16,0,37.3,26.1,59,3,60
2021,5,17,0,37.9,27.5,55,4,80
2021,5,18,0,37,26.8,66,4,90
2021,5,19,0,36.6,25.7,58,4,60
2021,5,20,2.5,36.6,25.7,69,3,70
2021,5,21,0,33.5,25.9,76,4,210
2021,5,22,0,33,24.9,77,4,210
2021,5,23,-1,34.1,25,74,3,220
2021,5,24,0.2,33.6,24.6,74,3,220
2021,5,25,0,36.8,25.9,71,3,220
2021,5,26,0,34.1,27,70,3,220
2021,5,27,0,33.9,26.3,71,3,220
2021,5,28,0,35.6,26.4,72,4,210
2021,5,29,0,34.6,26,73,3,210
2021,5,30,0,33.9,26,72,3,330
2021,5,31,0,34,26.4,73,3,40
2021,6,1,-1,36.1,26.1,73,3,40
2021,6,2,60.3,31.5,24.9,82,5,40
2021,6,3,26.1,32.2,25.1,83,5,220
2021,6,4,18.7,32.9,23.7,92,2,60
2021,6,5,32.6,30.9,24.7,83,2,150
2021,6,6,0,31,25.3,81,2,210
2021,6,7,2,32.3,25.5,80,4,210
2021,6,8,27.6,31,24.1,85,3,200
2021,6,9,2.5,31.3,24.2,84,3,210
2021,6,10,19,32.4,24.4,78,4,210
2021,6,11,5.2,30.1,25.3,83,2,160
2021,6,12,0,32.5,25.6,78,3,130
2021,6,13,83.1,30.6,23.6,83,4,350
2021,6,14,2.6,31,23.8,84,3,220
2021,6,15,0,31.6,24.7,77,3,220
2021,6,16,0,31.8,24.5,77,2,220
2021,6,17,0,31.9,25,78,3,220
2021,6,18,0.2,33.1,26.1,76,2,280
2021,6,19,1.6,32.2,25.2,78,3,350
2021,6,20,18,31.6,24.7,87,2,220
2021,6,21,84.5,30.7,23.9,87,4,220
2021,6,22,17,30.5,23.4,85,4,250
2021,6,23,65.4,30.9,23,85,3,210
2021,6,24,0,31.2,24.7,82,3,40
2021,6,25,6.5,29.1,23.6,87,2,60
2021,6,26,0,31.6,24.8,81,3,220
2021,6,27,0,31.7,24.6,81,2,340
2021,6,28,4.9,31.7,24,82,3,220
2021,6,29,0,31.1,24.7,82,2,200
2021,6,30,0,31.9,24.7,77,3,40
2021,7,1,-1,31.8,24.2,79,3,50
2021,7,2,-1,32.6,24,81,3,50
2021,7,3,22.5,31.1,23.7,88,2,60
2021,7,4,33.3,29.9,24.6,87,3,80
2021,7,5,30.5,29.5,24.1,88,4,220
2021,7,6,14.6,30.3,23.9,87,3,210
2021,7,7,5.8,33.5,24.6,79,3,50
2021,7,8,4.1,33.5,24.6,78,2,60
2021,7,9,0,30.7,25.6,78,4,70
2021,7,10,0,32.5,24.5,72,3,50
2021,7,11,0,32.5,25.3,71,3,50
2021,7,12,0,33.4,24.9,74,2,90
2021,7,13,7.1,33.9,23.9,78,3,40
2021,7,14,0,31.8,24.2,81,2,50
2021,7,15,1.5,31.6,25.3,79,3,210
2021,7,16,2,30.8,25.2,83,3,220
2021,7,17,54,31.2,23.5,85,3,220
2021,7,18,34,30,24.7,87,3,220
2021,7,19,81,31.2,24,92,5,210
2021,7,20,152,27.8,24,93,2,340
2021,7,21,94.7,26,24.2,95,2,150
2021,7,22,143.2,27.4,23.9,95,4,220
2021,7,23,73.8,29.5,24.6,91,5,260
2021,7,24,119.1,28.7,24.5,89,6,230
2021,7,25,42.4,28.8,24.7,87,8,230
2021,7,26,21.9,30.1,26,85,8,220
2021,7,27,47.6,30.5,25.4,86,7,230
2021,7,28,146,28.6,24,92,6,200
2021,7,29,152.2,28.3,23.8,95,3,150
2021,7,30,22.5,30.3,25.6,85,7,210
2021,7,31,11,31.1,26.2,85,8,220
2021,8,1,34.4,30.4,24.5,85,9,220
2021,8,2,43.2,30.3,25.9,86,9,220
2021,8,3,15.7,29.8,25.9,85,9,220
2021,8,4,50.2,30.3,24.4,85,10,220
2021,8,5,28.7,30.2,25,88,9,220
2021,8,6,13.5,30.8,25.2,87,8,220
2021,8,7,2.5,30.8,27.4,85,7,210
2021,8,8,52,30.9,23.4,86,5,210
2021,8,9,22.5,30.6,23.6,88,3,220
2021,8,10,5.5,29.8,23.6,86,3,210
2021,8,11,1,28,23.4,86,2,200
2021,8,12,0,30.6,24.6,84,2,40
2021,8,13,-1,31.3,24.5,81,2,50
2021,8,14,0,31.7,25,80,3,50
2021,8,15,1,31.1,23.5,83,2,50
2021,8,16,0.6,30.8,24.2,84,3,30
2021,8,17,-1,32.7,25.2,79,2,40
2021,8,18,2,31.8,24.3,84,3,210
2021,8,19,0,31.5,25.2,82,3,330
2021,8,20,0.5,31.8,24.7,84,3,210
2021,8,21,4,31.9,24.4,83,2,40
2021,8,22,6,31.6,24.4,84,3,210
2021,8,23,-1,31.1,25.2,82,3,220
2021,8,24,1,29.4,24.1,86,2,60
2021,8,25,4.1,32,24.2,83,3,250
2021,8,26,5.1,31.8,24.4,86,2,60
2021,8,27,12.6,31.7,23.7,80,3,20
2021,8,28,0,33.3,24.8,78,3,90
2021,8,29,32.8,32.7,24,83,3,50
2021,8,30,0,31.4,24.3,82,3,50
2021,8,31,-1,32.2,24.9,84,3,50
2021,9,1,2.2,32.8,24.2,88,2,60
2021,9,2,83.5,30.9,23.4,86,3,70
2021,9,3,-1,31.6,24.4,78,2,210
2021,9,4,0,32.3,24.6,78,3,60
2021,9,5,0.6,31.9,25.2,82,2,40
2021,9,6,0,32.3,23.8,83,2,60
2021,9,7,20.5,33,24,79,2,70
2021,9,8,93,27.2,23.7,98,4,340
2021,9,9,11,31.6,25.1,80,3,200
2021,9,10,64.8,30.1,24.4,89,4,250
2021,9,11,109,28.7,24.4,86,5,200
2021,9,12,34.5,27,24.2,97,3,180
2021,9,13,0,32.5,24.2,82,3,40
2021,9,14,36.9,32.8,23.6,79,3,20
2021,9,15,0.5,33.5,24.2,82,3,40
2021,9,16,26.9,33.2,23.6,85,2,50
2021,9,17,0.4,33,25,75,3,70
2021,9,18,0,33.2,24.7,77,3,70
2021,9,19,0,30.1,23.5,80,2,70
2021,9,20,0,31.1,24.6,75,2,90
2021,9,21,6.1,33.5,25.2,75,2,60
2021,9,22,0,33.8,25.2,71,4,60
2021,9,23,20,33.7,21.7,74,3,70
2021,9,24,0,33.6,23.4,73,3,70
2021,9,25,0,33.6,24.5,72,3,70
2021,9,26,-1,33.5,25.5,75,3,80
2021,9,27,1,32.8,24.9,82,3,200
2021,9,28,0.5,32.1,25.4,82,2,40
2021,9,29,0,31.6,25.4,81,2,150
2021,9,30,0,32.4,24.9,81,3,210
2021,10,1,-1,31.9,24.5,78,3,40
2021,10,2,7.3,32.7,24.7,78,2,190
2021,10,3,2.2,31.7,25,74,3,70
2021,10,4,3.5,30.2,24.5,75,3,50
2021,10,5,3.1,27.7,24.1,90,3,60
2021,10,6,0.4,29.8,25.2,76,3,60
2021,10,7,5,28.9,25,88,1,360
2021,10,8,1.5,30.3,25.6,80,2,50
2021,10,9,0,31.2,25.1,85,3,180
2021,10,10,0,32.1,26.5,75,3,320
2021,10,11,15,31.6,24.8,77,6,280
2021,10,12,84.1,29.8,23.5,84,6,200
2021,10,13,8.7,30.1,24.8,91,2,40
2021,10,14,17.3,30,24.9,91,3,70
2021,10,15,9.4,31.2,24.8,87,3,80
2021,10,16,23.5,32.2,24.4,82,2,70
2021,10,17,0,34,25.7,69,3,80
2021,10,18,0,31.9,23.5,74,3,70
2021,10,19,0,33.5,23.8,75,2,40
2021,10,20,0,32.6,24.1,77,3,60
2021,10,21,7.8,32.3,23.3,83,4,90
2021,10,22,0,33.4,24,75,3,90
2021,10,23,0.5,33.6,24.6,73,4,60
2021,10,24,0,29,23.4,75,3,50
2021,10,25,0,30.8,25,71,3,60
2021,10,26,0,32.6,24.9,67,3,80
2021,10,27,0,33.1,22.8,70,3,50
2021,10,28,0,31.4,24.6,69,4,50
2021,10,29,0,32.9,24.5,58,5,70
2021,10,30,0,32.7,24.7,67,4,50
2021,10,31,0,32.4,23.1,64,4,70
2021,11,1,0,32.4,24.9,73,3,70
2021,11,2,0,32.6,23.3,63,4,70
2021,11,3,0,32.9,24.3,61,3,60
2021,11,4,0,33,23.1,65,4,50
2021,11,5,3,32.4,25.3,79,3,50
2021,11,6,0,33.5,26,75,4,60
2021,11,7,0,33.7,25.3,68,4,60
2021,11,8,0,32.7,26.3,70,4,60
2021,11,9,0,33,23.2,63,4,50
2021,11,10,0,30.5,23.3,76,2,50
2021,11,11,0,33,24.4,68,4,90
2021,11,12,0,32.8,25.3,67,3,80
2021,11,13,0,32.6,24,67,3,60
2021,11,14,0,33.4,25.3,69,3,60
2021,11,15,0,33.4,25,74,3,70
2021,11,16,0,32.9,25.5,67,4,60
2021,11,17,0,32.3,24.3,71,3,50
2021,11,18,0,32.6,23.3,72,3,50
2021,11,19,0,33,24,79,2,40
2021,11,20,0,33.7,25.7,69,3,80
2021,11,21,-1,31,24.9,79,3,50
2021,11,22,0,33.1,24.7,76,3,70
2021,11,23,0,33.3,25.1,68,3,50
2021,11,24,0,32.4,25.4,67,3,50
2021,11,25,0,32.7,25.7,67,4,50
2021,11,26,0,30.1,24,71,3,90
2021,11,27,0,31.6,24.9,69,3,50
2021,11,28,0,31.8,25.3,69,3,50
2021,11,29,-1,33.3,25.3,71,3,80
2021,11,30,7.2,32.3,25.2,79,2,50
2021,12,1,0,32.5,24.9,70,4,50
2021,12,2,0,30.4,23.3,62,5,60
2021,12,3,0,30.2,23.4,60,5,70
2021,12,4,0,30.6,23.2,59,6,60
2021,12,5,0,31.3,20,59,4,70
2021,12,6,0,31.3,21,64,3,80
2021,12,7,0,31.5,23.6,61,5,50
2021,12,8,0,31.8,23.4,52,5,50
2021,12,9,0,31.8,22.3,56,5,50
2021,12,10,0,31.3,23.6,58,5,50
2021,12,11,0,30.9,24.8,64,4,50
2021,12,12,0,31.9,25.1,66,4,60
2021,12,13,0,32.6,24.5,61,6,50
2021,12,14,0,31.5,24.2,57,6,50
2021,12,15,0,31.7,21.3,59,4,60
2021,12,16,0,34,25.3,56,3,80
2021,12,17,3.8,32.2,25.1,70,5,70
2021,12,18,6.8,32.1,22.9,80,4,60
2021,12,19,0.3,28.2,22.7,79,3,70
2021,12,20,0,32,23.8,73,3,70
2021,12,21,0,32.9,24.3,72,3,60
2021,12,22,15,31.3,23.2,82,3,80
2021,12,23,0,32.1,23.4,77,2,40
2021,12,24,0,32.3,23.2,71,3,80
2021,12,25,0,32.1,24.8,66,4,30
2021,12,26,-1,31.1,23.9,65,5,60
2021,12,27,0,28.4,24,67,5,50
2021,12,28,0,29.6,24.2,60,6,40
2021,12,29,0,30,24.2,60,5,50
2021,12,30,0,30.6,23.1,58,5,60
2021,12,31,0,30.3,23.9,56,5,50
2022,1,1,0,29,23.5,62,8,50
2022,1,2,0,29.7,23.8,56,6,40
2022,1,3,0,30.1,22.8,58,6,60
2022,1,4,0,30.5,22.6,60,4,50
2022,1,5,0,30.7,22.2,63,4,60
2022,1,6,0,30.1,21,70,3,50
2022,1,7,0,31.2,20.8,65,3,70
2022,1,8,0,31.6,22.9,66,3,40
2022,1,9,0,32.1,21.9,76,3,20
2022,1,10,0,31.9,22.1,78,3,50
2022,1,11,0,30.5,19.9,69,3,50
2022,1,12,0,31.8,21.6,62,4,80
2022,1,13,0,31.8,21.8,63,4,90
2022,1,14,0,31.2,21.6,63,3,80
2022,1,15,-1,29.8,21.4,64,3,40
2022,1,16,0,31.3,21.5,60,4,80
2022,1,17,0,31,19.2,62,4,60
2022,1,18,0,30.6,21.1,61,4,60
2022,1,19,-1,31.3,23.2,64,3,80
2022,1,20,-1,31.4,23.9,64,5,50
2022,1,21,0,32.7,24.2,63,4,80
2022,1,22,0,32.7,23.2,65,4,60
2022,1,23,0,33.1,22.6,69,3,50
2022,1,24,0,34.1,23.4,68,4,30
2022,1,25,0,32.9,24.6,62,4,40
2022,1,26,2.2,31.9,24.6,68,4,70
2022,1,27,0,33.1,25.6,70,5,80
2022,1,28,0,33.3,23.9,76,4,60
2022,1,29,0,30.8,26.6,75,4,220
2022,1,30,5.3,31,22.8,84,3,60
2022,1,31,0,32.3,24.6,63,6,60
2022,2,1,0,31.6,22.8,64,4,60
2022,2,2,0,31.7,22.6,61,4,60
2022,2,3,0.5,29.2,22.9,72,3,70
2022,2,4,0,33,23.4,59,4,60
2022,2,5,0,30.7,24.9,61,5,50
2022,2,6,0,31.5,24.1,61,4,50
2022,2,7,0,31.3,24,65,4,60
2022,2,8,0,32.7,23.5,65,3,80
2022,2,9,0,33.2,20.6,61,4,60
2022,2,10,0,32.5,23.6,62,3,60
2022,2,11,0,32.3,22.6,61,4,60
2022,2,12,0,32.8,24.1,61,4,50
2022,2,13,0,32.6,24.3,66,3,80
2022,2,14,0,32.2,23.6,74,3,60
